"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Uso laxo: intenta match parcial; si no encuentra, no rompe el test.","1114","test_dropdown_options_partial[Tenis]","tests","Tue Oct 07 22:41:16 ART 2025","passed","Tue Oct 07 22:41:17 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"Uso laxo: intenta match parcial; si no encuentra, no rompe el test.","697","test_dropdown_options_partial[Soccer]","tests","Tue Oct 07 22:41:40 ART 2025","passed","Tue Oct 07 22:41:40 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"","1164","test_shadow_dom","tests","Tue Oct 07 22:42:31 ART 2025","passed","Tue Oct 07 22:42:32 ART 2025","","test_shadow","",""
"Selecciona hasta 3 opciones reales del dropdown (lo que haya en la página).","1726","test_dropdown_runtime_options","tests","Tue Oct 07 22:40:51 ART 2025","passed","Tue Oct 07 22:40:53 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"Uso laxo: intenta match parcial; si no encuentra, no rompe el test.","936","test_dropdown_options_partial[F\xfat]","tests","Tue Oct 07 22:41:04 ART 2025","passed","Tue Oct 07 22:41:05 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"","1304","test_dynamic_id_button_reveals_element","tests","Tue Oct 07 22:40:25 ART 2025","passed","Tue Oct 07 22:40:27 ART 2025","","test_dynamic_button","",""
"Uso laxo: intenta match parcial; si no encuentra, no rompe el test.","999","test_dropdown_options_partial[Basket]","tests","Tue Oct 07 22:41:51 ART 2025","passed","Tue Oct 07 22:41:52 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"","870","test_static_table_has_rows_and_messi","tests","Tue Oct 07 22:42:43 ART 2025","passed","Tue Oct 07 22:42:44 ART 2025","","test_tables","",""
"Uso laxo: intenta match parcial; si no encuentra, no rompe el test.","893","test_dropdown_options_partial[B\xe1squet]","tests","Tue Oct 07 22:41:28 ART 2025","passed","Tue Oct 07 22:41:29 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
"","551","test_dynamic_table_has_rows","tests","Tue Oct 07 22:42:55 ART 2025","passed","Tue Oct 07 22:42:56 ART 2025","","test_tables","",""
"","2755","test_form_text_and_submit","tests","Tue Oct 07 22:42:03 ART 2025","passed","Tue Oct 07 22:42:06 ART 2025","","test_forms_text_and_submit","",""
"","4117","test_popup_alert","tests","Tue Oct 07 22:42:16 ART 2025","passed","Tue Oct 07 22:42:21 ART 2025","","test_popup","",""
"","2892","test_checkboxes_radios_dropdown","tests","Tue Oct 07 22:40:38 ART 2025","passed","Tue Oct 07 22:40:41 ART 2025","","test_forms_checkboxes_radios_dropdown","",""
